MSSV,Họ và Tên,Email,Số điện thoại
20110001,Nguyễn Văn An,nguyenvana@email.com,0123456789
20110002,Trần Thị Bình,tranthib@email.com,0987654321
20110003,Lê Văn Cường,levanc@email.com,0369852147
20110004,Phạm Thị Dung,phamthid@email.com,0521478963
20110005,Hoàng Văn Em,hoangvane@email.com,0147852369
20110006,Vũ Thị Phương,vuthip@email.com,0789632145
20110007,Đặng Văn Giang,dangvang@email.com,0321654987
20110008,Ngô Thị Hoa,ngothih@email.com,0963258741
20110009,Bùi Văn Inh,buivani@email.com,0458963217
20110010,Đinh Thị Kim,dinhthik@email.com,0896321457

